
20240205	23:54:45	df4f1cc7-9d56-4c39-a196-f8ef0f9b265d	GET	http://localhost:4200	/pedido/lista
20240205	23:56:54	64a045a5-ea46-4013-8ba6-17da79735b7f	GET	http://localhost:4200	/pedido/lista
20240205	23:57:22	6007099c-7fea-4e34-8a4f-39a479697580	GET	http://localhost:4200	/pedido/lista
20240205	23:57:36	6f5bc6a5-243f-4ede-9932-ddc08f6bf2ae	GET	http://localhost:4200	/pedido/lista
20240205	23:57:38	6d7338a1-9b87-4821-80bb-ee8e7dd0be1a	GET	http://localhost:4200	/pedido/lista
20240205	23:57:42	b1e6ade7-f678-48c9-a2ef-59469ac2b1c5	GET	http://localhost:4200	/pedido/lista
20240205	23:57:44	6f1dd965-1e9b-4d9f-bdc9-398c287d7de2	GET	http://localhost:4200	/pedido/lista
20240205	23:58:02	7b9ab434-fed3-4798-a703-6b5302f00c26	GET	http://localhost:4200	/pedido/lista
20240205	23:58:03	76a4e2d5-091b-4887-b9be-000e11a436cb	GET	http://localhost:4200	/pedido/lista
20240206	00:00:38	7991f23e-5d6f-4079-98fe-646c360ea51c	GET	http://localhost:4200	/pedido/lista
20240206	00:01:21	a45fb17d-993c-47e6-a0e8-9fe04a0956e0	GET	http://localhost:4200	/pedido/lista
20240206	00:01:25	3c41a173-8f49-46bd-968e-d4e7974667db	GET	http://localhost:4200	/pedido/lista
20240206	00:01:53	f880839b-e290-45ea-818f-7ea4a36f5baf	GET	http://localhost:4200	/pedido/lista
20240206	00:02:10	c15fbe91-6a64-4417-b3bd-0aba8be03523	GET	http://localhost:4200	/pedido/lista
20240206	00:04:06	0a465349-7047-4b0d-a98f-37461cdb6e1f	GET	http://localhost:4200	/pedido/lista
20240206	00:04:23	d3b86e8b-2822-43f2-9fe4-5180283a325a	GET	http://localhost:4200	/pedido/lista
20240206	00:05:08	4da829be-4140-4695-a100-cd9e5ae0a03e	GET	http://localhost:4200	/pedido/lista
20240206	00:05:14	f9404f7f-5192-4464-8f8b-3f155b37f62d	GET	http://localhost:4200	/pedido/lista
20240206	00:05:28	2f2b478b-60b8-4a77-a752-ad7444afd7d4	GET	http://localhost:4200	/pedido/lista
20240206	00:05:56	d08dc64b-4f36-44d1-b3de-6a8ee09387e3	GET	http://localhost:4200	/pedido/lista
